iter	Logloss
0	0.6909132848
1	0.6881115406
2	0.6862097226
3	0.6841953282
4	0.6823570315
5	0.6802838178
6	0.6785572867
7	0.6767089375
8	0.6748333856
9	0.6737890322
10	0.6721513156
11	0.6708191711
12	0.6697876625
13	0.6682377875
14	0.6655041043
15	0.6639749106
16	0.6625461691
17	0.6614154694
18	0.6607698803
19	0.6593400039
20	0.6579635422
21	0.6566296862
22	0.6554929875
23	0.6544094333
24	0.6536470343
25	0.652435645
26	0.650945418
27	0.650039889
28	0.6487947935
29	0.64801755
30	0.6471759747
31	0.6457016009
32	0.644304512
33	0.642957559
34	0.6419602792
35	0.6408227517
36	0.6396629577
37	0.6381234233
38	0.6365964275
39	0.6353318756
40	0.6342136424
41	0.6331732884
42	0.6325970214
43	0.6314747708
44	0.6309270757
45	0.6293601224
46	0.6280302298
47	0.6272819366
48	0.6267405018
49	0.6256453729
50	0.6243458717
51	0.6231908697
52	0.6223593377
53	0.6215390112
54	0.6205482708
55	0.6197463197
56	0.6184105271
57	0.6173671466
58	0.616289051
59	0.6159326222
60	0.6155489006
61	0.6151531359
62	0.6141216904
63	0.6129810194
64	0.6125186889
65	0.6114279286
66	0.6108474281
67	0.6104060492
68	0.6095642306
69	0.6089889544
70	0.6076328678
71	0.6069646878
72	0.6062101884
73	0.6053634517
74	0.6049098045
75	0.603955941
76	0.6035565373
77	0.6030846768
78	0.6021261564
79	0.6011751483
80	0.6003146932
81	0.5993369056
82	0.5983498313
83	0.597545259
84	0.5969885203
85	0.5961496923
86	0.5953240873
87	0.5945986913
88	0.5939322948
89	0.5929097578
90	0.5920101287
91	0.5912065833
92	0.5903195468
93	0.5896738856
94	0.5888702591
95	0.588032656
96	0.587457524
97	0.5864914823
98	0.5859605773
99	0.5855159377
100	0.5852044836
101	0.5843308504
102	0.5834909504
103	0.5829502633
104	0.582435671
105	0.5817109145
106	0.5809473896
107	0.5803611963
108	0.5796571211
109	0.5788191308
110	0.5781104618
111	0.5774388949
112	0.5768904072
113	0.5762192007
114	0.5752191555
115	0.5749805995
116	0.5742615178
117	0.5736822784
118	0.5725891041
119	0.5722065085
120	0.5715995617
121	0.5706156671
122	0.5702381967
123	0.5694348404
124	0.5691275478
125	0.5688087346
126	0.5679579986
127	0.5673407292
128	0.5670056754
129	0.566523186
130	0.5658874872
131	0.5652305666
132	0.5647588142
133	0.5642879626
134	0.5633310275
135	0.56264431
136	0.5619109333
137	0.561441667
138	0.5609754452
139	0.5605090613
140	0.5600778609
141	0.5598340806
142	0.5594891365
143	0.5589080234
144	0.558435109
145	0.5580249322
146	0.5574468637
147	0.5570335974
148	0.5564622935
149	0.5560229233
150	0.5554191202
151	0.5545194552
152	0.5541429576
153	0.5537713061
154	0.5534342076
155	0.5528921963
156	0.5521329589
157	0.5517031637
158	0.5513906197
159	0.5509626801
160	0.5500390279
161	0.5494713091
162	0.5490263722
163	0.5484999529
164	0.5478705774
165	0.5470240569
166	0.5464602654
167	0.5461930024
168	0.5458721715
169	0.5450219219
170	0.5445170757
171	0.5440499982
172	0.5432028022
173	0.5423460851
174	0.5418024164
175	0.5412917424
176	0.5407272303
177	0.5403876547
178	0.5397295
179	0.5392614858
180	0.5385960981
181	0.5380004018
182	0.5373887892
183	0.5369982849
184	0.5365672466
185	0.5359862957
186	0.5355567166
187	0.5351083839
188	0.5345742722
189	0.5340051302
190	0.5333787272
191	0.5328825373
192	0.531832293
193	0.5314721262
194	0.530725076
195	0.5303048468
196	0.5296814794
197	0.5291241372
198	0.5287426134
199	0.5283732138
